Unique_ID,YEAR,NUMBER_SCRIPTS,LAUNCH_YEAR,PROPNAME,Type_ID,Manuf_ID,DOSAGE_ID,PAYER,UNIQUE_MEMBERS,THER_CLASS
79,2016,109,2008,ACARBOSE,1,17,2,3,33,8
80,2016,25,2012,ACARBOSE,1,21,2,3,11,8
81,2016,37,2008,ACARBOSE,1,18,2,3,16,8
82,2016,64,2011,ACARBOSE,1,19,2,3,22,8
83,2016,31,2011,ACARBOSE,1,19,2,3,14,8
84,2016,159,2015,ACARBOSE,1,20,2,3,45,8
85,2016,90,2015,ACARBOSE,1,20,2,3,31,8
86,2016,33,2015,ACARBOSE,1,20,2,3,15,8
87,2016,32,2008,ACARBOSE,1,15,2,2,16,8
88,2016,54,2008,ACARBOSE,1,15,2,2,12,8
89,2016,26,2011,ACARBOSE,1,19,2,2,14,8
90,2016,52,2015,ACARBOSE,1,20,2,2,23,8
91,2016,60,2015,ACARBOSE,1,20,2,2,15,8
92,2016,213,2011,ACEBUTOLOL HYDROCHLORIDE,1,16,11,1,52,9
93,2016,83,2011,ACEBUTOLOL HYDROCHLORIDE,1,16,11,1,24,9
94,2016,245,2009,ACEBUTOLOL HYDROCHLORIDE,1,22,11,1,67,9
95,2016,139,2009,ACEBUTOLOL HYDROCHLORIDE,1,22,11,1,30,9
96,2016,266,2011,ACEBUTOLOL HYDROCHLORIDE,1,16,11,3,68,9
97,2016,35,2011,ACEBUTOLOL HYDROCHLORIDE,1,16,11,3,13,9
98,2016,580,2009,ACEBUTOLOL HYDROCHLORIDE,1,22,11,3,120,9
99,2016,270,2009,ACEBUTOLOL HYDROCHLORIDE,1,22,11,3,53,9
100,2016,214,0,ACETAMINOPHEN,1,2,7,1,108,5
101,2016,29,2011,RUGBY,2,23,12,1,16,5
102,2016,50,2011,PAIN AND FEVER,2,23,2,1,27,5
103,2016,41,2011,PAIN AND FEVER,2,23,2,1,24,5
104,2016,305,1996,REGULAR STRENGTH QPAP,2,24,2,1,175,5
105,2016,481,1996,EXTRA STRENGTH QPAP,2,24,2,1,191,5
106,2016,96,1998,CHILDRENS QPAP,2,24,13,1,73,5
107,2016,1245,2011,MAPAP,2,25,2,1,447,5
108,2016,1361,2011,EXTRA STRENGTH MAPAP,2,25,8,1,370,5
109,2016,46,2012,CHILDRENS MAPAP ACETAMINOPHEN,2,25,12,1,33,5
110,2016,442,2011,EXTRA STRENGTH MAPAP,2,25,2,1,175,5
111,2016,190,2006,MAPAP ARTHRITIS PAIN,2,25,14,1,57,5
112,2016,22,2014,CHILDRENS ACETAMINOPHEN,2,26,15,1,20,5
113,2016,21,2002,SUNMARK ARTHRITIS PAIN RELIEVER,2,27,14,1,12,5
114,2016,34,2002,SUNMARK ARTHRITIS 8 HOUR,2,27,14,1,16,5
115,2016,88,1989,REGULAR STRENGTH PAIN RELIEF,2,28,2,1,38,5
116,2016,30,1990,REGULAR STRENGTH PAIN RELIEVER,2,29,2,3,15,5
117,2016,39,1993,EXTRA STRENGTH PAIN RELIEVER,2,30,2,3,16,5
118,2016,23,2002,ACETAMINOPHEN,2,29,14,3,16,5
119,2016,14,2005,EXTRA STRENGTH PAIN RELIEVER,2,29,3,3,12,5
120,2016,58,2011,RUGBY,2,23,12,3,23,5
121,2016,239,2011,PAIN AND FEVER,2,23,3,3,63,5
122,2016,1112,2011,PAIN AND FEVER,2,23,2,3,268,5
123,2016,688,2011,PAIN AND FEVER,2,23,2,3,264,5
124,2016,3798,1996,REGULAR STRENGTH QPAP,2,24,2,3,897,5
125,2016,5939,1996,EXTRA STRENGTH QPAP,2,24,2,3,1588,5
126,2016,248,1998,CHILDRENS QPAP,2,24,13,3,48,5
127,2016,245,1992,ACEPHEN,2,31,16,3,181,5
128,2016,23857,2011,MAPAP,2,25,2,3,4268,5
129,2016,25778,2011,EXTRA STRENGTH MAPAP,2,25,8,3,3937,5
130,2016,364,2012,CHILDRENS MAPAP ACETAMINOPHEN,2,25,12,3,81,5
131,2016,348,1997,MAPAP,2,25,11,3,69,5
132,2016,11158,2011,EXTRA STRENGTH MAPAP,2,25,2,3,2173,5
133,2016,4578,2006,MAPAP ARTHRITIS PAIN,2,25,14,3,922,5
134,2016,235,2004,MAPAP,2,25,2,3,50,5
135,2016,239,2009,EXTRA STRENGTH ACETAMINOHPEN,2,25,12,3,45,5
136,2016,113,2018,ACETAMINOPHEN 325MG,2,32,2,3,47,5
137,2016,201,1997,ACETAMINOPHEN,1,33,2,3,54,5
138,2016,24,0,ARTHRITIS PAIN RELIEVER,1,29,17,3,11,5
139,2016,42,0,ARTHRITIS PAIN RELIEVER,2,29,17,3,22,5
140,2016,84,2006,PHARBETOL,2,34,2,3,21,5
141,2016,150,1989,GOOD NEIGHBOR PHARMACY PAIN RELIEF,2,35,2,3,29,5
142,2016,107,2008,GOOD NEIGHBOR PHARMACY PAIN RELIEF,2,36,14,3,27,5
143,2016,53,2004,EXTRA STRENGTH PAIN RELIEVER,2,37,18,3,14,5
144,2016,39,0,CALCIUM ANTACID,2,38,19,3,23,5
145,2016,154,0,NON-ASPIRIN EXTRA STRENGTH,1,39,19,3,61,5
146,2016,32,0,PAIN RELIEF EXTRA STRENGTH,1,39,19,3,12,5
147,2016,69,0,ARTHRITIS PAIN RELIEF,1,39,17,3,30,5
148,2016,49,2010,ACETAMINOPHEN,2,40,16,3,46,5
149,2016,127,2002,ACETAMINOPHEN,1,41,14,3,29,5
150,2016,27,1989,EQUATE ACETAMINOPHEN,2,42,2,3,15,5
151,2016,451,2003,SUNMARK PAIN RELIEVER,2,27,2,3,91,5
152,2016,92,2005,SUNMARK PAIN RELIEVER,2,43,3,3,28,5
153,2016,496,2002,SUNMARK ARTHRITIS PAIN RELIEVER,2,27,14,3,175,5
154,2016,440,2002,SUNMARK ARTHRITIS 8 HOUR,2,27,14,3,119,5
155,2016,94,2012,ACETAMINOPHEN,1,27,3,3,45,5
156,2016,39,2012,ACETAMINOPHEN,2,27,2,3,18,5
157,2016,19,0,CVS PAIN RELIEF EXTRA STRENGTH,2,44,19,3,13,5
158,2016,26,0,CVS ARTHRITIS PAIN RELIEF,2,44,17,3,12,5
159,2016,19,0,CVS 8 HOUR PAIN RELIEF,2,44,17,3,11,5
160,2016,31,0,CVS PAIN RELIEF EXTRA STRENGTH,2,44,19,3,22,5
161,2016,58,0,CVS ACETAMINOPHEN,2,44,19,3,32,5
162,2016,23,0,CVS ARTHRITIS PAIN RELIEF,2,44,17,3,17,5
163,2016,14,0,CVS NON-ASPIRIN EXTRA STRENGTH,2,44,19,3,12,5
164,2016,237,2006,PLUS PHARMA,2,2,2,3,41,5
165,2016,180,2006,PLUSPHARMA EXTRA STRENGTH,2,2,2,3,19,5
166,2016,72,2006,PLUSPHARMA EXTRA STRENGTH,2,2,2,3,16,5
167,2016,50,0,ACETAMINOPHEN,1,2,7,3,11,5
168,2016,1066,1989,REGULAR STRENGTH PAIN RELIEF,2,28,2,3,302,5
169,2016,482,1989,EXTRA STRENGTH PAIN RELIEF,2,28,2,3,165,5
170,2016,536,1989,EXTRA STRENGTH PAIN RELIEF,1,28,2,3,101,5
171,2016,237,2015,ACETAMINOPHEN,2,45,12,3,45,5
172,2016,342,2011,HEALTH MART PAIN RELIEF,2,43,2,3,59,5
173,2016,371,2002,ACETAMINOPHEN,1,43,14,3,90,5
174,2016,38,2012,ACETAMINOPHEN,1,43,2,3,11,5
175,2016,130,2012,ACETAMINOPHEN,1,43,2,3,26,5
176,2016,255,2002,ACETAMINOPHEN,1,46,14,3,44,5
177,2016,272,1993,GOOD SENSE CHILDRENS PAIN AND FEVER,2,47,15,2,224,5
178,2016,36,1989,GOOD SENSE PAIN RELIEF,2,48,2,2,18,5
179,2016,27,2005,GOOD SENSE PAIN RELIEF,2,48,14,2,17,5
180,2016,495,1993,GOOD SENSE CHILDRENS PAIN AND FEVER,2,47,15,2,411,5
181,2016,57,2007,ACETAMINOPHEN,2,49,13,2,52,5
182,2016,126,1990,REGULAR STRENGTH PAIN RELIEVER,2,29,2,2,82,5
183,2016,28,0,PAIN RELIEF CHILDRENS,1,29,20,2,25,5
184,2016,39,0,PAIN RELIEF CHILDRENS,1,29,20,2,37,5
185,2016,111,1993,EXTRA STRENGTH PAIN RELIEVER,2,30,2,2,77,5
186,2016,16,2002,ACETAMINOPHEN,1,29,14,2,14,5
187,2016,71,2002,ACETAMINOPHEN,2,29,14,2,43,5
188,2016,27,2012,ACETAMINOPHEN,1,29,21,2,27,5
189,2016,31,2005,CHILDRENS PAIN AND FEVER,2,29,1,2,22,5
190,2016,16,2005,JUNIOR PAIN RELIEF,1,30,1,2,15,5
191,2016,12,2004,CHILDRENS PAIN AND FEVER,2,29,1,2,11,5
192,2016,118,2005,EXTRA STRENGTH PAIN RELIEVER,2,29,3,2,71,5
193,2016,15,2010,CHILDRENS FEVER REDUCER,1,2,16,2,13,5
194,2016,147,2010,PAIN RELIEF,1,30,15,2,132,5
195,2016,48,1993,CHILDRENS PAIN AND FEVER,2,29,15,2,47,5
196,2016,24,2011,PAIN AND FEVER,1,29,15,2,20,5
197,2016,5296,2011,RUGBY,2,23,12,2,4008,5
198,2016,16,2013,PAIN AND FEVER,1,50,1,2,13,5
199,2016,1022,2011,PAIN AND FEVER,2,23,3,2,413,5
200,2016,1908,2011,PAIN AND FEVER,2,23,2,2,908,5
201,2016,2655,2011,PAIN AND FEVER,2,23,2,2,1301,5
202,2016,101,2012,CHILDRENS PAIN AND FEVER ACETAMINOPHEN,2,50,15,2,73,5
203,2016,10190,1996,REGULAR STRENGTH QPAP,2,24,2,2,6707,5
204,2016,15125,1996,EXTRA STRENGTH QPAP,2,24,2,2,7290,5
205,2016,36,1997,QPAP INFANTS DROPS,2,24,22,2,29,5
206,2016,13147,1998,CHILDRENS QPAP,2,24,13,2,10270,5
207,2016,1287,1997,CHILDRENS QPAP,1,24,13,2,1065,5
208,2016,510,2000,CHILDRENS QPAP,2,24,15,2,408,5
209,2016,306,2000,CHILDRENS QPAP,2,24,15,2,264,5
210,2016,908,2000,CHILDRENS QPAP,2,24,15,2,774,5
211,2016,962,1982,ACEPHEN,2,31,16,2,750,5
212,2016,287,1992,ACEPHEN,2,31,16,2,222,5
213,2016,200,1992,ACEPHEN,2,31,16,2,141,5
214,2016,34023,2011,MAPAP,2,25,2,2,15688,5
215,2016,26773,2011,EXTRA STRENGTH MAPAP,2,25,8,2,9560,5
216,2016,11015,2012,CHILDRENS MAPAP ACETAMINOPHEN,2,25,12,2,7734,5
217,2016,494,1997,MAPAP,2,25,11,2,230,5
218,2016,14623,2011,EXTRA STRENGTH MAPAP,2,25,2,2,5776,5
219,2016,261,2011,CHILDRENS CHEWABLE MAPAP,2,25,1,2,204,5
220,2016,328,2005,JUNIOR PAIN RELIEF,1,25,1,2,266,5
221,2016,5060,2006,MAPAP ARTHRITIS PAIN,2,25,14,2,1597,5
222,2016,22,2004,CHILDRENS MAPAP,2,25,1,2,22,5
223,2016,425,2004,MAPAP,2,25,2,2,121,5
224,2016,162,2009,EXTRA STRENGTH ACETAMINOHPEN,2,25,12,2,59,5
225,2016,570,2015,CHILDRENS MAPAP,2,25,15,2,453,5
226,2016,171,2015,MAPAP,1,2,15,2,149,5
227,2016,167,2018,ACETAMINOPHEN 325MG,2,32,2,2,124,5
228,2016,67,0,ACETAMINOPHEN,1,33,19,2,62,5
229,2016,82,1997,ACETAMINOPHEN,1,33,2,2,61,5
230,2016,37,0,UNKOWN,2,2,7,2,31,5
231,2016,24,2009,UP AND UP CHILDRENS ACETAMINOPHEN,2,51,15,2,24,5
232,2016,38,2009,UP AND UP CHILDRENS ACETAMINOPHEN,2,51,15,2,37,5
233,2016,23,2009,UP AND UP ACETAMINOPHEN,1,51,2,2,18,5
234,2016,43,2011,UP AND UP CHILDRENS ACETAMINOPHEN,2,52,15,2,42,5
235,2016,100,0,ARTHRITIS PAIN RELIEVER,1,29,17,2,57,5
236,2016,47,0,ARTHRITIS PAIN RELIEVER,2,29,17,2,43,5
237,2016,43,1990,PAIN RELIEVER,2,53,2,2,14,5
238,2016,87,2006,PHARBETOL,2,34,2,2,27,5
239,2016,92,1990,GOOD NEIGHBOR PHARMACY PAIN RELIEF,2,36,2,2,87,5
240,2016,264,1989,GOOD NEIGHBOR PHARMACY PAIN RELIEF,2,35,2,2,71,5
241,2016,172,2008,GOOD NEIGHBOR PHARMACY PAIN RELIEF,2,36,14,2,51,5
242,2016,114,2002,LEADER ARTHRITIS PAIN RELIEVER,2,54,14,2,41,5
243,2016,23,2012,LEADER PAIN AND FEVER,1,54,15,2,21,5
244,2016,93,1993,PAIN RELIEVER,2,54,2,2,44,5
245,2016,122,2012,LEADER CHILDRENS PAIN AND FEVER,2,54,15,2,82,5
246,2016,63,2004,EXTRA STRENGTH PAIN RELIEVER,2,37,18,2,26,5
247,2016,72,0,CALCIUM ANTACID,2,38,19,2,62,5
248,2016,86,0,NON-ASPIRIN EXTRA STRENGTH,1,39,19,2,41,5
249,2016,11,0,PAIN RELIEF EXTRA STRENGTH,1,39,19,2,11,5
250,2016,63,0,ARTHRITIS PAIN RELIEF,1,39,17,2,37,5
251,2016,18,2005,JUNIOR PAIN RELIEF,2,55,1,2,11,5
252,2016,1991,2014,CHILDRENS ACETAMINOPHEN,2,26,15,2,1631,5
253,2016,96,2010,ACETAMINOPHEN,2,40,16,2,63,5
254,2016,345,2010,ACETAMINOPHEN,1,56,16,2,284,5
255,2016,100,2002,ACETAMINOPHEN,1,41,14,2,26,5
256,2016,286,1995,GOOD NEIGHBOR PHARMACY CHILDRENS PAIN RELIEF,1,41,12,2,219,5
257,2016,14,2012,GOOD NEIGHBOR PHARMACY PAIN RELIEF,2,41,12,2,13,5
258,2016,39,2002,ACETAMINOPHEN,2,2,14,2,22,5
259,2016,1467,2013,GOOD NEIGHBOR PHARMACY CHILDRENS PAIN AND FEVER,1,41,15,2,1356,5
260,2016,2251,1993,GOOD NEIGHBOR PHARMACY CHILDRENS PAIN AND FEVER,1,41,15,2,2032,5
261,2016,1177,1998,GOOD NEIGHBOR PHARMACY CHILDRENS PAIN AND FEVER,2,41,15,2,1073,5
262,2016,2389,2011,GOOD NEIGHBOR PHARMACY CHILDRENS PAIN AND FEVER,2,41,15,2,1985,5
263,2016,47,2011,PAIN RELIEF,1,35,2,2,40,5
264,2016,276,2015,GOOD NEIGHBOR PHARMACY PAIN AND FEVER,1,2,15,2,185,5
265,2016,21,2015,EQUATE PAIN AND FEVER,1,57,15,2,21,5
266,2016,14,1996,EQUATE CHILDRENS ACETAMINOPHEN,1,42,15,2,12,5
267,2016,42,1993,ACETAMINOPHEN,1,57,8,2,30,5
268,2016,14,2005,JUNIOR ACETAMINOPHEN,2,57,23,2,11,5
269,2016,81,1989,EQUATE ACETAMINOPHEN,2,42,2,2,57,5
270,2016,15,2004,RAPID RELEASE PAIN RELIEVER,1,42,18,2,13,5
271,2016,26,1989,EQUATE ACETAMINOPHEN,1,57,2,2,20,5
272,2016,28,2005,ACETAMINOPHEN,1,57,8,2,22,5
273,2016,27,2000,EQUATE ARTHRITIS PAIN,2,57,14,2,14,5
274,2016,21,2011,EQUATE PAIN AND FEVER,1,57,15,2,20,5
275,2016,62,2012,EQUATE CHILDRENS PAIN AND FEVER,2,57,15,2,49,5
276,2016,797,2003,SUNMARK PAIN RELIEVER,2,27,2,2,270,5
277,2016,14,2011,SUNMARK INFANTS PAIN AND FEVER,2,27,15,2,14,5
278,2016,128,2014,SUNMARK CHILDRENS PAIN AND FEVER,2,27,15,2,104,5
279,2016,362,2014,SUNMARK CHILDRENS PAIN AND FEVER,2,27,15,2,288,5
280,2016,273,2014,SUNMARK CHILDRENS PAIN AND FEVER,2,27,15,2,242,5
281,2016,14,2003,SUNMARK PAIN RELIEVER,2,43,15,2,11,5
282,2016,49,2011,SUNMARK INFANTS PAIN AND FEVER,2,27,15,2,40,5
283,2016,169,2005,SUNMARK PAIN RELIEVER,2,43,3,2,90,5
284,2016,600,2002,SUNMARK ARTHRITIS PAIN RELIEVER,2,27,14,2,265,5
285,2016,502,2002,SUNMARK ARTHRITIS 8 HOUR,2,27,14,2,243,5
286,2016,693,2012,ACETAMINOPHEN,1,27,3,2,454,5
287,2016,231,2012,ACETAMINOPHEN,2,27,2,2,147,5
288,2016,517,1997,LEADER CHILDRENS PAIN AND FEVER,1,54,15,2,368,5
289,2016,18,0,CVS PAIN & FEVER CHILDRENS,1,44,24,2,17,5
290,2016,189,0,CVS PAIN RELIEF EXTRA STRENGTH,2,44,19,2,141,5
291,2016,47,0,CVS NON-ASPIRIN EXTRA STRENGTH,2,44,19,2,39,5
292,2016,87,0,CVS NON-ASPIRIN EXTRA STRENGTH,2,44,19,2,65,5
293,2016,46,0,CVS ARTHRITIS PAIN RELIEF,2,44,17,2,35,5
294,2016,66,0,CVS PAIN RELIEF CHILDRENS,1,44,20,2,54,5
295,2016,33,0,CVS 8 HOUR PAIN RELIEF,2,44,17,2,25,5
296,2016,145,0,CVS PAIN RELIEF EXTRA STRENGTH,2,44,19,2,97,5
297,2016,29,0,CVS NON-ASPIRIN EXTRA STRENGTH,1,44,19,2,19,5
298,2016,340,0,CVS ACETAMINOPHEN,2,44,19,2,223,5
299,2016,57,0,CVS PAIN RELIEF EXTRA STRENGTH,2,44,19,2,40,5
300,2016,13,0,CVS PAIN RELIEF EXTRA STRENGTH,2,44,19,2,11,5
301,2016,59,0,CVS ARTHRITIS PAIN RELIEF,2,44,17,2,40,5
302,2016,122,0,CVS NON-ASPIRIN EXTRA STRENGTH,2,44,19,2,88,5
303,2016,30,0,CVS PAIN RELIEF EXTRA STRENGTH,2,44,19,2,20,5
304,2016,20,0,CVS PAIN RELIEF CHILDRENS,1,44,20,2,18,5
305,2016,81,0,CVS FEVER REDUCING CHILDRENS,1,44,24,2,59,5
306,2016,17,0,CVS NON-ASPIRIN JR,1,44,25,2,15,5
307,2016,73,0,CVS PAIN RELIEF CHILDRENS,2,44,20,2,51,5
308,2016,22,0,CVS INFANTS PAIN RELIEF DROPS,2,44,20,2,19,5
309,2016,53,0,CVS PAIN RELIEF CHILDRENS,1,44,20,2,44,5
310,2016,16,2011,CHILDRENS TYLENOL,2,2,15,2,15,5
311,2016,13,2004,CHILDRENS TYLENOL,2,58,15,2,13,5
312,2016,17,1999,TYLENOL,2,2,2,2,13,5
313,2016,160,2006,PLUS PHARMA,2,2,2,2,62,5
314,2016,259,2006,PLUSPHARMA EXTRA STRENGTH,2,2,2,2,35,5
315,2016,145,2006,PLUSPHARMA EXTRA STRENGTH,2,2,2,2,36,5
316,2016,113,2013,FEVERALL,2,2,16,2,101,5
317,2016,27,2013,FEVERALL,2,59,16,2,24,5
318,2016,39,0,ACETAMINOPHEN,1,2,7,2,21,5
319,2016,1313,1994,CHILDRENS SILAPAP,2,60,12,2,1210,5
320,2016,1366,1989,REGULAR STRENGTH PAIN RELIEF,2,28,2,2,801,5
321,2016,53,2012,PAIN RELIEF,1,61,15,2,42,5
322,2016,38,1989,EXTRA STRENGTH PAIN RELIEF,1,61,2,2,13,5
323,2016,763,1989,EXTRA STRENGTH PAIN RELIEF,2,28,2,2,407,5
324,2016,192,1989,EXTRA STRENGTH PAIN RELIEF,1,28,2,2,52,5
325,2016,883,2015,ACETAMINOPHEN,2,45,12,2,509,5
326,2016,105,2011,HEALTH MART PAIN RELIEF,1,43,15,2,85,5
327,2016,318,2011,HEALTH MART PAIN RELIEF,2,43,2,2,101,5
328,2016,441,2002,ACETAMINOPHEN,1,43,14,2,134,5
329,2016,116,2011,HEALTH MART PAIN RELIEF,2,43,8,2,28,5
330,2016,38,2011,HEALTH MART PAIN RELIEF,2,43,15,2,24,5
331,2016,81,2012,ACETAMINOPHEN,1,43,2,2,37,5
332,2016,165,2012,ACETAMINOPHEN,1,43,2,2,56,5
333,2016,1553,2013,HEALTH MART CHILDRENS PAIN AND FEVER,1,43,12,2,1026,5
334,2016,139,2014,HEALTH MART PAIN AND FEVER,1,43,15,2,106,5
335,2016,47,2006,HEALTH SENSE TACTINAL EXTRA STRENGTH,2,62,2,2,16,5
336,2016,40,2009,ACETAMINOPHEN,2,63,2,2,36,5
337,2016,80,2002,ACETAMINOPHEN,1,46,14,2,35,5
338,2016,19,2015,PAIN RELIEF,1,46,15,2,15,5
339,2016,17,2014,ARTHRITIS PAIN RELIEVER,2,2,14,2,14,5
340,2016,97,1992,PAIN RELIEVER PLUS,2,25,8,3,41,5
341,2016,30,2006,EXCEDRIN,2,64,8,2,20,5
342,2016,22,2002,GOOD SENSE MIGRAINE FORMULA,2,47,8,2,14,5
343,2016,69,1992,HEADACHE RELIEF,2,29,8,2,43,5
344,2016,33,2002,MIGRAINE RELIEF,2,29,8,2,19,5
345,2016,656,1992,PAIN RELIEVER PLUS,2,25,8,2,343,5
346,2016,134,2002,LEADER MIGRAINE FORMULA,2,54,2,2,67,5
347,2016,21,2004,EQUALINE MIGRAINE FORMULA,2,65,2,2,13,5
348,2016,166,2003,SUNMARK MIGRAINE RELIEF,2,27,2,2,87,5
349,2016,217,2007,TENSION HEADACHE RELIEF,2,29,8,1,105,7
350,2016,335,2007,TENSION HEADACHE RELIEF,2,29,8,2,228,7
351,2016,20075,2008,ACETAMINOPHEN AND CODEINE,1,22,2,1,13823,5
352,2016,20523,2008,ACETAMINOPHEN AND CODEINE,1,22,2,3,9779,5
353,2016,13758,2008,ACETAMINOPHEN AND CODEINE,1,22,2,2,9213,5
354,2016,73,2011,ACETAMINOPHEN AND CODEINE PHOSPHATE,1,66,2,1,45,5
355,2016,15314,2011,ACETAMINOPHEN AND CODEINE PHOSPHATE,1,66,2,1,10747,5
356,2016,400,2011,ACETAMINOPHEN AND CODEINE PHOSPHATE,1,66,2,1,120,5
357,2016,182,1981,ACETAMINOPHEN AND CODEINE PHOSPHATE,1,49,13,1,167,5
358,2016,1102,2009,ACETAMINOPHEN AND CODEINE PHOSPHATE,1,67,2,1,804,5
359,2016,82,2009,ACETAMINOPHEN AND CODEINE PHOSPHATE,1,67,2,1,31,5
360,2016,76,1988,ACETAMINOPHEN AND CODEINE,1,24,2,1,48,5
361,2016,3664,1988,ACETAMINOPHEN AND CODEINE,1,24,2,1,2912,5
